Risk ID,Risk Title,Risk Description,Category,Department,Risk Owner,Date Identified,Likelihood,Impact,Inherent Risk Score,Inherent Risk Level,Existing Controls,Control Effectiveness Label,Control Effectiveness Score,Residual Risk Score,Residual Risk Level,Treatment Plan,Target Date,Status,KRI,Notes
ERM-0121,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,Internal Audit,Compliance Officer,6/7/23,3,3,9,Moderate,Standard internal controls in place,Moderate,0.5,4.5,Moderate,Reduce,2/15/23,Open,18 incidents/month, dataset
ERM-0122,Phishing Attack, Risk related to phishing attack,Cyber Risk,Finance,Compliance Officer,12/14/23,3,5,15,Extreme,Standard internal controls in place,Weak,0.25,11.25,High,Transfer,8/12/25,Mitigated,3 incidents/month, dataset
ERM-0123,Service Failure, Risk related to service failure,Reputational Risk,Finance,Head of ICT,10/15/26,4,4,16,Extreme,Standard internal controls in place,Moderate,0.5,8,Moderate,Reduce,5/4/25,Under Review,49 incidents/month, dataset
ERM-0124,Customer Complaints, Risk related to customer complaints,Reputational Risk,Strategy,Head of ICT,11/25/24,5,3,15,Extreme,Standard internal controls in place,Strong,0.75,3.75,Low,Reduce,2/5/25,Under Review,29 incidents/month, dataset
ERM-0125,Exchange Rate Volatility, Risk related to exchange rate volatility,Financial Risk,Operations,Internal Auditor,11/19/25,3,3,9,Moderate,Standard internal controls in place,Strong,0.75,2.25,Low,Transfer,8/13/26,Under Review,28 incidents/month, dataset
ERM-0126,Regulatory Breach, Risk related to regulatory breach,Compliance Risk,Procurement,Director Finance,11/30/23,4,3,12,High,Standard internal controls in place,Moderate,0.5,6,Moderate,Avoid,11/1/26,Under Review,34 incidents/month, dataset
ERM-0127,Service Failure, Risk related to service failure,Reputational Risk,Compliance,HR Manager,2/8/26,2,3,6,Moderate,Standard internal controls in place,Very Strong,0.9,0.6,Low,Reduce,5/3/23,Open,4 incidents/month, dataset
ERM-0128,Poor Strategic Decisions, Risk related to poor strategic decisions,Strategic Risk,Internal Audit,HR Manager,1/29/26,3,5,15,Extreme,Standard internal controls in place,Weak,0.25,11.25,High,Accept,12/22/26,Under Review,6 incidents/month, dataset
ERM-0129,Human Error, Risk related to human error,Operational Risk,Procurement,Director Finance,2/27/26,3,4,12,High,Standard internal controls in place,Moderate,0.5,6,Moderate,Accept,4/3/25,Closed,6 incidents/month, dataset
ERM-0130,Customer Complaints, Risk related to customer complaints,Reputational Risk,Internal Audit,HR Manager,3/14/25,1,4,4,Low,Standard internal controls in place,Very Strong,0.9,0.4,Low,Avoid,11/4/25,Under Review,43 incidents/month, dataset
ERM-0131,Poor Strategic Decisions, Risk related to poor strategic decisions,Strategic Risk,ICT,HR Manager,10/20/26,3,3,9,Moderate,Standard internal controls in place,Weak,0.25,6.75,Moderate,Accept,11/13/26,Closed,12 incidents/month, dataset
ERM-0132,Service Failure, Risk related to service failure,Reputational Risk,Compliance,HR Manager,5/16/26,1,5,5,Moderate,Standard internal controls in place,Weak,0.25,3.75,Low,Accept,4/28/24,Closed,23 incidents/month, dataset
ERM-0133,Poor Strategic Decisions, Risk related to poor strategic decisions,Strategic Risk,HR,Director Finance,11/15/26,5,5,25,Extreme,Standard internal controls in place,Strong,0.75,6.25,Moderate,Avoid,8/4/26,Open,46 incidents/month, dataset
ERM-0134,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,Internal Audit,HR Manager,3/24/24,3,2,6,Moderate,Standard internal controls in place,Strong,0.75,1.5,Low,Accept,4/24/23,Under Review,50 incidents/month, dataset
ERM-0135,Service Failure, Risk related to service failure,Reputational Risk,Internal Audit,Compliance Officer,1/4/23,3,2,6,Moderate,Standard internal controls in place,Weak,0.25,4.5,Moderate,Transfer,8/13/25,Open,38 incidents/month, dataset
ERM-0136,Human Error, Risk related to human error,Operational Risk,Operations,Head of ICT,9/17/23,2,4,8,Moderate,Standard internal controls in place,Moderate,0.5,4,Low,Transfer,7/29/26,Under Review,33 incidents/month, dataset
ERM-0137,Poor Strategic Decisions, Risk related to poor strategic decisions,Strategic Risk,Internal Audit,Internal Auditor,12/4/23,2,4,8,Moderate,Standard internal controls in place,Moderate,0.5,4,Low,Accept,3/10/26,Closed,48 incidents/month, dataset
ERM-0138,Supply Chain Disruption, Risk related to supply chain disruption,Operational Risk,Procurement,Operations Manager,6/20/25,1,3,3,Low,Standard internal controls in place,Strong,0.75,0.75,Low,Accept,3/20/23,Mitigated,4 incidents/month, dataset
ERM-0139,Negative Publicity, Risk related to negative publicity,Reputational Risk,Operations,Operations Manager,10/19/25,3,2,6,Moderate,Standard internal controls in place,Moderate,0.5,3,Low,Avoid,12/9/26,Mitigated,19 incidents/month, dataset
ERM-0140,Poor Strategic Decisions, Risk related to poor strategic decisions,Strategic Risk,Finance,Operations Manager,2/13/26,5,5,25,Extreme,Standard internal controls in place,Strong,0.75,6.25,Moderate,Accept,3/13/26,Mitigated,43 incidents/month, dataset
ERM-0141,Ransomware Attack, Risk related to ransomware attack,Cyber Risk,Finance,HR Manager,8/20/23,2,3,6,Moderate,Standard internal controls in place,Very Strong,0.9,0.6,Low,Avoid,11/13/25,Open,34 incidents/month, dataset
ERM-0142,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,Internal Audit,Compliance Officer,3/23/26,1,3,3,Low,Standard internal controls in place,Strong,0.75,0.75,Low,Transfer,6/13/25,Under Review,38 incidents/month, dataset
ERM-0143,Poor Strategic Decisions, Risk related to poor strategic decisions,Strategic Risk,Operations,Director Finance,5/16/24,3,4,12,High,Standard internal controls in place,Very Strong,0.9,1.2,Low,Transfer,5/15/26,Mitigated,28 incidents/month, dataset
ERM-0144,Customer Complaints, Risk related to customer complaints,Reputational Risk,Strategy,HR Manager,1/22/24,5,4,20,Extreme,Standard internal controls in place,Strong,0.75,5,Moderate,Reduce,1/16/24,Mitigated,2 incidents/month, dataset
ERM-0145,AML Violation, Risk related to aml violation,Compliance Risk,Operations,Head of ICT,4/9/23,4,4,16,Extreme,Standard internal controls in place,Strong,0.75,4,Low,Transfer,3/28/25,Under Review,26 incidents/month, dataset
ERM-0146,Supply Chain Disruption, Risk related to supply chain disruption,Operational Risk,Operations,Operations Manager,3/2/25,4,4,16,Extreme,Standard internal controls in place,Very Strong,0.9,1.6,Low,Avoid,4/21/25,Mitigated,23 incidents/month, dataset
ERM-0147,System Hacking, Risk related to system hacking,Cyber Risk,Strategy,Internal Auditor,5/24/26,4,5,20,Extreme,Standard internal controls in place,Strong,0.75,5,Moderate,Avoid,10/24/25,Mitigated,11 incidents/month, dataset
ERM-0148,Data Breach, Risk related to data breach,Cyber Risk,Strategy,Compliance Officer,12/31/25,4,4,16,Extreme,Standard internal controls in place,Moderate,0.5,8,Moderate,Avoid,7/27/23,Mitigated,14 incidents/month, dataset
ERM-0149,System Hacking, Risk related to system hacking,Cyber Risk,HR,Head of ICT,4/4/25,1,5,5,Moderate,Standard internal controls in place,Strong,0.75,1.25,Low,Avoid,11/8/23,Mitigated,37 incidents/month, dataset
ERM-0150,Negative Publicity, Risk related to negative publicity,Reputational Risk,Finance,HR Manager,3/4/24,5,2,10,High,Standard internal controls in place,Weak,0.25,7.5,Moderate,Transfer,7/23/25,Mitigated,25 incidents/month, dataset
ERM-0151,Ransomware Attack, Risk related to ransomware attack,Cyber Risk,HR,Director Finance,5/28/25,3,3,9,Moderate,Standard internal controls in place,Strong,0.75,2.25,Low,Accept,12/13/26,Mitigated,3 incidents/month, dataset
ERM-0152,Exchange Rate Volatility, Risk related to exchange rate volatility,Financial Risk,Operations,Director Finance,3/31/25,4,2,8,Moderate,Standard internal controls in place,Very Strong,0.9,0.8,Low,Avoid,6/14/25,Mitigated,25 incidents/month, dataset
ERM-0153,Revenue Instability, Risk related to revenue instability,Financial Risk,Internal Audit,Operations Manager,9/24/25,3,1,3,Low,Standard internal controls in place,Weak,0.25,2.25,Low,Avoid,12/7/25,Mitigated,43 incidents/month, dataset
ERM-0154,Human Error, Risk related to human error,Operational Risk,Operations,HR Manager,1/18/24,3,3,9,Moderate,Standard internal controls in place,Moderate,0.5,4.5,Moderate,Transfer,10/26/24,Closed,47 incidents/month, dataset
ERM-0155,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,Internal Audit,HR Manager,9/30/24,3,3,9,Moderate,Standard internal controls in place,Strong,0.75,2.25,Low,Avoid,11/13/25,Closed,14 incidents/month, dataset
ERM-0156,Phishing Attack, Risk related to phishing attack,Cyber Risk,HR,Internal Auditor,2/27/23,5,3,15,Extreme,Standard internal controls in place,Strong,0.75,3.75,Low,Accept,6/25/23,Closed,21 incidents/month, dataset
ERM-0157,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,HR,HR Manager,6/24/24,4,4,16,Extreme,Standard internal controls in place,Weak,0.25,12,High,Transfer,5/23/25,Under Review,0 incidents/month, dataset
ERM-0158,Negative Publicity, Risk related to negative publicity,Reputational Risk,Procurement,Compliance Officer,1/16/23,5,4,20,Extreme,Standard internal controls in place,Weak,0.25,15,Extreme,Avoid,4/26/23,Mitigated,37 incidents/month, dataset
ERM-0159,Reporting Non-compliance, Risk related to reporting non-compliance,Compliance Risk,Procurement,Compliance Officer,2/3/24,3,5,15,Extreme,Standard internal controls in place,Moderate,0.5,7.5,Moderate,Reduce,3/11/26,Open,40 incidents/month, dataset
ERM-0160,Negative Publicity, Risk related to negative publicity,Reputational Risk,Finance,Operations Manager,9/12/26,4,2,8,Moderate,Standard internal controls in place,Weak,0.25,6,Moderate,Accept,1/27/25,Under Review,0 incidents/month, dataset
ERM-0161,Revenue Instability, Risk related to revenue instability,Financial Risk,Compliance,Operations Manager,2/5/25,3,3,9,Moderate,Standard internal controls in place,Very Strong,0.9,0.9,Low,Reduce,9/24/25,Open,21 incidents/month, dataset
ERM-0162,Human Error, Risk related to human error,Operational Risk,Operations,Internal Auditor,8/6/23,3,4,12,High,Standard internal controls in place,Strong,0.75,3,Low,Accept,12/2/26,Mitigated,49 incidents/month, dataset
ERM-0163,Regulatory Breach, Risk related to regulatory breach,Compliance Risk,Internal Audit,Head of ICT,2/14/23,4,4,16,Extreme,Standard internal controls in place,Very Strong,0.9,1.6,Low,Avoid,1/29/24,Closed,47 incidents/month, dataset
ERM-0164,System Hacking, Risk related to system hacking,Cyber Risk,Internal Audit,Internal Auditor,8/10/24,3,2,6,Moderate,Standard internal controls in place,Weak,0.25,4.5,Moderate,Avoid,6/23/23,Closed,48 incidents/month, dataset
ERM-0165,Regulatory Breach, Risk related to regulatory breach,Compliance Risk,Finance,Compliance Officer,12/7/24,4,2,8,Moderate,Standard internal controls in place,Weak,0.25,6,Moderate,Transfer,1/31/26,Mitigated,31 incidents/month, dataset
ERM-0166,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,Internal Audit,Director Finance,4/16/26,4,3,12,High,Standard internal controls in place,Very Strong,0.9,1.2,Low,Reduce,6/6/23,Under Review,31 incidents/month, dataset
ERM-0167,Supply Chain Disruption, Risk related to supply chain disruption,Operational Risk,Strategy,Internal Auditor,9/7/25,4,3,12,High,Standard internal controls in place,Strong,0.75,3,Low,Avoid,9/20/23,Under Review,44 incidents/month, dataset
ERM-0168,Market Competition, Risk related to market competition,Strategic Risk,Strategy,Director Finance,10/11/24,3,5,15,Extreme,Standard internal controls in place,Moderate,0.5,7.5,Moderate,Transfer,9/30/23,Under Review,18 incidents/month, dataset
ERM-0169,Ransomware Attack, Risk related to ransomware attack,Cyber Risk,Compliance,Compliance Officer,3/27/26,2,4,8,Moderate,Standard internal controls in place,Very Strong,0.9,0.8,Low,Reduce,4/30/23,Mitigated,37 incidents/month, dataset
ERM-0170,AML Violation, Risk related to aml violation,Compliance Risk,Operations,Operations Manager,12/15/26,1,1,1,Low,Standard internal controls in place,Moderate,0.5,0.5,Low,Accept,11/12/25,Mitigated,24 incidents/month, dataset
ERM-0171,Exchange Rate Volatility, Risk related to exchange rate volatility,Financial Risk,ICT,Compliance Officer,6/4/25,2,5,10,High,Standard internal controls in place,Moderate,0.5,5,Moderate,Avoid,11/20/23,Closed,38 incidents/month, dataset
ERM-0172,Market Competition, Risk related to market competition,Strategic Risk,Procurement,Director Finance,6/2/24,3,5,15,Extreme,Standard internal controls in place,Moderate,0.5,7.5,Moderate,Accept,6/16/26,Mitigated,38 incidents/month, dataset
ERM-0173,Market Competition, Risk related to market competition,Strategic Risk,ICT,Head of ICT,2/2/26,3,2,6,Moderate,Standard internal controls in place,Very Strong,0.9,0.6,Low,Accept,1/30/26,Mitigated,26 incidents/month, dataset
ERM-0174,Ransomware Attack, Risk related to ransomware attack,Cyber Risk,Compliance,Internal Auditor,10/15/23,5,3,15,Extreme,Standard internal controls in place,Moderate,0.5,7.5,Moderate,Avoid,11/16/24,Closed,0 incidents/month, dataset
ERM-0175,Reporting Non-compliance, Risk related to reporting non-compliance,Compliance Risk,Finance,Director Finance,3/18/23,2,3,6,Moderate,Standard internal controls in place,Moderate,0.5,3,Low,Transfer,5/29/23,Mitigated,1 incidents/month, dataset
ERM-0176,Data Breach, Risk related to data breach,Cyber Risk,Procurement,Compliance Officer,2/8/23,2,3,6,Moderate,Standard internal controls in place,Weak,0.25,4.5,Moderate,Reduce,12/1/23,Mitigated,36 incidents/month, dataset
ERM-0177,Ransomware Attack, Risk related to ransomware attack,Cyber Risk,Operations,Compliance Officer,8/17/24,5,2,10,High,Standard internal controls in place,Strong,0.75,2.5,Low,Avoid,9/5/23,Closed,23 incidents/month, dataset
ERM-0178,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,Procurement,Compliance Officer,5/15/26,3,4,12,High,Standard internal controls in place,Very Strong,0.9,1.2,Low,Accept,11/3/26,Open,9 incidents/month, dataset
ERM-0179,Customer Complaints, Risk related to customer complaints,Reputational Risk,Internal Audit,Compliance Officer,10/10/26,3,5,15,Extreme,Standard internal controls in place,Weak,0.25,11.25,High,Accept,8/14/26,Under Review,42 incidents/month, dataset
ERM-0180,Credit Default Risk, Risk related to credit default Risk,Financial Risk,Finance,Head of ICT,9/22/24,3,2,6,Moderate,Standard internal controls in place,Weak,0.25,4.5,Moderate,Transfer,9/17/24,Closed,11 incidents/month, dataset
ERM-0181,Human Error, Risk related to human error,Operational Risk,Procurement,Operations Manager,2/21/23,3,3,9,Moderate,Standard internal controls in place,Very Strong,0.9,0.9,Low,Transfer,11/30/24,Mitigated,44 incidents/month, dataset
ERM-0182,AML Violation, Risk related to aml violation,Compliance Risk,Compliance,Operations Manager,8/8/25,4,3,12,High,Standard internal controls in place,Weak,0.25,9,Moderate,Reduce,1/14/24,Mitigated,39 incidents/month, dataset
ERM-0183,Liquidity Shortfall, Risk related to liquidity shortfall,Financial Risk,Compliance,Internal Auditor,1/17/26,2,1,2,Low,Standard internal controls in place,Very Strong,0.9,0.2,Low,Accept,10/5/25,Under Review,11 incidents/month, dataset
ERM-0184,Data Breach, Risk related to data breach,Cyber Risk,Operations,HR Manager,6/7/23,4,1,4,Low,Standard internal controls in place,Weak,0.25,3,Low,Reduce,11/6/25,Closed,22 incidents/month, dataset
ERM-0185,Supply Chain Disruption, Risk related to supply chain disruption,Operational Risk,Finance,Head of ICT,9/13/25,2,4,8,Moderate,Standard internal controls in place,Very Strong,0.9,0.8,Low,Reduce,11/8/24,Mitigated,40 incidents/month, dataset
ERM-0186,Reporting Non-compliance, Risk related to reporting non-compliance,Compliance Risk,ICT,Compliance Officer,3/25/23,3,3,9,Moderate,Standard internal controls in place,Moderate,0.5,4.5,Moderate,Avoid,1/7/25,Under Review,29 incidents/month, dataset
ERM-0187,Human Error, Risk related to human error,Operational Risk,Internal Audit,Director Finance,11/24/25,5,2,10,High,Standard internal controls in place,Moderate,0.5,5,Moderate,Accept,1/6/24,Closed,39 incidents/month, dataset
ERM-0188,Reporting Non-compliance, Risk related to reporting non-compliance,Compliance Risk,Strategy,Director Finance,11/3/23,5,4,20,Extreme,Standard internal controls in place,Strong,0.75,5,Moderate,Reduce,9/22/24,Open,12 incidents/month, dataset
ERM-0189,Liquidity Shortfall, Risk related to liquidity shortfall,Financial Risk,Finance,Operations Manager,1/28/24,5,2,10,High,Standard internal controls in place,Very Strong,0.9,1,Low,Accept,9/28/26,Mitigated,33 incidents/month, dataset
ERM-0190,Market Competition, Risk related to market competition,Strategic Risk,Compliance,Director Finance,10/12/26,3,4,12,High,Standard internal controls in place,Moderate,0.5,6,Moderate,Reduce,1/16/23,Under Review,46 incidents/month, dataset
ERM-0191,Data Breach, Risk related to data breach,Cyber Risk,Internal Audit,Operations Manager,3/24/24,3,3,9,Moderate,Standard internal controls in place,Strong,0.75,2.25,Low,Accept,12/12/25,Closed,10 incidents/month, dataset
ERM-0192,Supply Chain Disruption, Risk related to supply chain disruption,Operational Risk,Strategy,Compliance Officer,11/22/26,5,3,15,Extreme,Standard internal controls in place,Weak,0.25,11.25,High,Avoid,7/22/24,Under Review,26 incidents/month, dataset
ERM-0193,Revenue Instability, Risk related to revenue instability,Financial Risk,Operations,Head of ICT,12/13/26,4,3,12,High,Standard internal controls in place,Moderate,0.5,6,Moderate,Accept,3/27/23,Under Review,34 incidents/month, dataset
ERM-0194,Customer Complaints, Risk related to customer complaints,Reputational Risk,Compliance,Director Finance,9/5/25,3,4,12,High,Standard internal controls in place,Weak,0.25,9,Moderate,Avoid,1/4/24,Under Review,11 incidents/month, dataset
ERM-0195,Exchange Rate Volatility, Risk related to exchange rate volatility,Financial Risk,Compliance,HR Manager,11/17/24,5,2,10,High,Standard internal controls in place,Strong,0.75,2.5,Low,Transfer,11/5/25,Under Review,50 incidents/month, dataset
ERM-0196,Regulatory Breach, Risk related to regulatory breach,Compliance Risk,ICT,HR Manager,1/5/26,5,1,5,Moderate,Standard internal controls in place,Weak,0.25,3.75,Low,Transfer,3/18/25,Under Review,38 incidents/month, dataset
ERM-0197,Service Failure, Risk related to service failure,Reputational Risk,Finance,Internal Auditor,3/30/24,2,2,4,Low,Standard internal controls in place,Strong,0.75,1,Low,Avoid,1/4/26,Under Review,50 incidents/month, dataset
ERM-0198,Supply Chain Disruption, Risk related to supply chain disruption,Operational Risk,HR,Operations Manager,1/23/24,4,4,16,Extreme,Standard internal controls in place,Weak,0.25,12,High,Avoid,7/31/23,Open,28 incidents/month, dataset
ERM-0199,Negative Publicity, Risk related to negative publicity,Reputational Risk,Strategy,Head of ICT,6/20/25,1,3,3,Low,Standard internal controls in place,Moderate,0.5,1.5,Low,Avoid,4/18/25,Under Review,25 incidents/month, dataset
ERM-0200,Process Failure, Risk related to process failure,Operational Risk,Compliance,Compliance Officer,9/14/25,4,5,20,Extreme,Standard internal controls in place,Very Strong,0.9,2,Low,Reduce,1/1/24,Under Review,5 incidents/month, dataset
ERM-0201,Human Error, Risk related to human error,Operational Risk,Internal Audit,HR Manager,2/27/23,4,2,8,Moderate,Standard internal controls in place,Very Strong,0.9,0.8,Low,Avoid,3/26/26,Mitigated,2 incidents/month, dataset
ERM-0202,Exchange Rate Volatility, Risk related to exchange rate volatility,Financial Risk,Finance,Internal Auditor,7/1/25,3,3,9,Moderate,Standard internal controls in place,Weak,0.25,6.75,Moderate,Transfer,9/4/23,Open,3 incidents/month, dataset
ERM-0203,Market Competition, Risk related to market competition,Strategic Risk,Internal Audit,Director Finance,3/23/25,5,1,5,Moderate,Standard internal controls in place,Very Strong,0.9,0.5,Low,Reduce,5/21/24,Mitigated,9 incidents/month, dataset
ERM-0204,Human Error, Risk related to human error,Operational Risk,Internal Audit,Compliance Officer,8/24/26,5,2,10,High,Standard internal controls in place,Weak,0.25,7.5,Moderate,Accept,5/29/24,Mitigated,37 incidents/month, dataset
ERM-0205,Phishing Attack, Risk related to phishing attack,Cyber Risk,HR,Internal Auditor,6/1/23,2,5,10,High,Standard internal controls in place,Moderate,0.5,5,Moderate,Avoid,6/4/25,Mitigated,30 incidents/month, dataset
ERM-0206,Service Failure, Risk related to service failure,Reputational Risk,HR,Director Finance,10/2/23,2,3,6,Moderate,Standard internal controls in place,Moderate,0.5,3,Low,Reduce,7/20/24,Mitigated,11 incidents/month, dataset
ERM-0207,Data Breach, Risk related to data breach,Cyber Risk,Operations,Internal Auditor,7/12/25,4,2,8,Moderate,Standard internal controls in place,Strong,0.75,2,Low,Avoid,8/19/26,Under Review,38 incidents/month, dataset
ERM-0208,Process Failure, Risk related to process failure,Operational Risk,ICT,Operations Manager,1/19/24,3,5,15,Extreme,Standard internal controls in place,Strong,0.75,3.75,Low,Transfer,6/27/26,Under Review,34 incidents/month, dataset
ERM-0209,AML Violation, Risk related to aml violation,Compliance Risk,Finance,Operations Manager,12/28/24,3,4,12,High,Standard internal controls in place,Strong,0.75,3,Low,Avoid,7/14/26,Mitigated,43 incidents/month, dataset
ERM-0210,Negative Publicity, Risk related to negative publicity,Reputational Risk,ICT,Director Finance,9/22/26,2,5,10,High,Standard internal controls in place,Moderate,0.5,5,Moderate,Reduce,10/18/23,Mitigated,37 incidents/month, dataset
ERM-0211,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,HR,Internal Auditor,9/10/25,2,3,6,Moderate,Standard internal controls in place,Moderate,0.5,3,Low,Accept,3/17/26,Open,36 incidents/month, dataset
ERM-0212,Ransomware Attack, Risk related to ransomware attack,Cyber Risk,ICT,Director Finance,6/26/23,2,5,10,High,Standard internal controls in place,Very Strong,0.9,1,Low,Transfer,10/22/23,Open,8 incidents/month, dataset
ERM-0213,Market Competition, Risk related to market competition,Strategic Risk,Finance,Compliance Officer,6/20/23,3,3,9,Moderate,Standard internal controls in place,Very Strong,0.9,0.9,Low,Reduce,1/8/24,Open,32 incidents/month, dataset
ERM-0214,Liquidity Shortfall, Risk related to liquidity shortfall,Financial Risk,Operations,HR Manager,12/27/25,4,2,8,Moderate,Standard internal controls in place,Strong,0.75,2,Low,Transfer,3/15/25,Open,36 incidents/month, dataset
ERM-0215,Supply Chain Disruption, Risk related to supply chain disruption,Operational Risk,Strategy,Director Finance,1/27/25,3,5,15,Extreme,Standard internal controls in place,Strong,0.75,3.75,Low,Reduce,9/24/24,Mitigated,34 incidents/month, dataset
ERM-0216,Human Error, Risk related to human error,Operational Risk,HR,Internal Auditor,10/1/24,3,3,9,Moderate,Standard internal controls in place,Moderate,0.5,4.5,Moderate,Transfer,12/1/26,Open,22 incidents/month, dataset
ERM-0217,Ransomware Attack, Risk related to ransomware attack,Cyber Risk,Strategy,Operations Manager,2/19/23,3,4,12,High,Standard internal controls in place,Moderate,0.5,6,Moderate,Reduce,2/5/26,Open,38 incidents/month, dataset
ERM-0218,Negative Publicity, Risk related to negative publicity,Reputational Risk,Procurement,Operations Manager,5/28/26,2,4,8,Moderate,Standard internal controls in place,Weak,0.25,6,Moderate,Transfer,3/5/25,Under Review,8 incidents/month, dataset
ERM-0219,System Hacking, Risk related to system hacking,Cyber Risk,Procurement,HR Manager,6/24/26,5,2,10,High,Standard internal controls in place,Strong,0.75,2.5,Low,Accept,5/12/23,Under Review,18 incidents/month, dataset
ERM-0220,Negative Publicity, Risk related to negative publicity,Reputational Risk,Procurement,HR Manager,1/14/23,5,4,20,Extreme,Standard internal controls in place,Strong,0.75,5,Moderate,Transfer,11/21/23,Mitigated,50 incidents/month, dataset
ERM-0221,Poor Strategic Decisions, Risk related to poor strategic decisions,Strategic Risk,Compliance,Operations Manager,7/31/26,4,3,12,High,Standard internal controls in place,Moderate,0.5,6,Moderate,Accept,10/15/26,Mitigated,22 incidents/month, dataset
ERM-0222,Service Failure, Risk related to service failure,Reputational Risk,Procurement,Director Finance,9/2/24,4,3,12,High,Standard internal controls in place,Weak,0.25,9,Moderate,Avoid,8/28/24,Open,27 incidents/month, dataset
ERM-0223,Negative Publicity, Risk related to negative publicity,Reputational Risk,HR,Head of ICT,12/2/24,5,2,10,High,Standard internal controls in place,Strong,0.75,2.5,Low,Reduce,9/21/23,Open,10 incidents/month, dataset
ERM-0224,Customer Complaints, Risk related to customer complaints,Reputational Risk,Finance,Internal Auditor,1/18/26,4,2,8,Moderate,Standard internal controls in place,Moderate,0.5,4,Low,Accept,12/23/25,Mitigated,36 incidents/month, dataset
ERM-0225,Market Competition, Risk related to market competition,Strategic Risk,Finance,Internal Auditor,11/3/26,3,3,9,Moderate,Standard internal controls in place,Weak,0.25,6.75,Moderate,Transfer,2/15/25,Under Review,2 incidents/month, dataset
ERM-0226,Negative Publicity, Risk related to negative publicity,Reputational Risk,Internal Audit,Director Finance,9/14/24,3,1,3,Low,Standard internal controls in place,Very Strong,0.9,0.3,Low,Accept,3/3/24,Closed,3 incidents/month, dataset
ERM-0227,System Hacking, Risk related to system hacking,Cyber Risk,Finance,Internal Auditor,7/11/23,3,4,12,High,Standard internal controls in place,Very Strong,0.9,1.2,Low,Reduce,3/22/23,Open,13 incidents/month, dataset
ERM-0228,Revenue Instability, Risk related to revenue instability,Financial Risk,Operations,Internal Auditor,1/8/26,4,2,8,Moderate,Standard internal controls in place,Weak,0.25,6,Moderate,Avoid,9/4/23,Closed,23 incidents/month, dataset
ERM-0229,Human Error, Risk related to human error,Operational Risk,ICT,Operations Manager,4/10/25,5,2,10,High,Standard internal controls in place,Moderate,0.5,5,Moderate,Reduce,7/28/24,Mitigated,15 incidents/month, dataset
ERM-0230,Process Failure, Risk related to process failure,Operational Risk,Internal Audit,Director Finance,5/23/23,2,2,4,Low,Standard internal controls in place,Weak,0.25,3,Low,Accept,1/5/24,Mitigated,3 incidents/month, dataset
ERM-0231,Ransomware Attack, Risk related to ransomware attack,Cyber Risk,Strategy,Internal Auditor,10/2/23,4,1,4,Low,Standard internal controls in place,Weak,0.25,3,Low,Transfer,11/21/23,Open,49 incidents/month, dataset
ERM-0232,Process Failure, Risk related to process failure,Operational Risk,Operations,Director Finance,8/6/24,4,5,20,Extreme,Standard internal controls in place,Moderate,0.5,10,High,Accept,9/29/24,Mitigated,42 incidents/month, dataset
ERM-0233,System Hacking, Risk related to system hacking,Cyber Risk,Strategy,HR Manager,9/25/25,3,5,15,Extreme,Standard internal controls in place,Strong,0.75,3.75,Low,Reduce,12/6/25,Mitigated,2 incidents/month, dataset
ERM-0234,Supply Chain Disruption, Risk related to supply chain disruption,Operational Risk,Procurement,Internal Auditor,3/11/24,2,3,6,Moderate,Standard internal controls in place,Weak,0.25,4.5,Moderate,Transfer,8/15/26,Mitigated,44 incidents/month, dataset
ERM-0235,Credit Default Risk, Risk related to credit default Risk,Financial Risk,HR,Director Finance,1/11/24,5,3,15,Extreme,Standard internal controls in place,Weak,0.25,11.25,High,Avoid,3/4/26,Open,25 incidents/month, dataset
ERM-0236,Exchange Rate Volatility, Risk related to exchange rate volatility,Financial Risk,Compliance,Head of ICT,4/7/26,2,2,4,Low,Standard internal controls in place,Strong,0.75,1,Low,Avoid,12/13/23,Closed,27 incidents/month, dataset
ERM-0237,Supply Chain Disruption, Risk related to supply chain disruption,Operational Risk,ICT,HR Manager,5/30/24,2,3,6,Moderate,Standard internal controls in place,Weak,0.25,4.5,Moderate,Transfer,1/15/25,Mitigated,33 incidents/month, dataset
ERM-0238,Credit Default Risk, Risk related to credit default Risk,Financial Risk,Procurement,Director Finance,4/22/25,4,3,12,High,Standard internal controls in place,Weak,0.25,9,Moderate,Accept,6/19/26,Mitigated,22 incidents/month, dataset
ERM-0239,Negative Publicity, Risk related to negative publicity,Reputational Risk,Procurement,Director Finance,4/2/24,3,3,9,Moderate,Standard internal controls in place,Very Strong,0.9,0.9,Low,Accept,6/29/23,Closed,48 incidents/month, dataset
ERM-0240,Data Breach, Risk related to data breach,Cyber Risk,Operations,Internal Auditor,10/23/24,2,3,6,Moderate,Standard internal controls in place,Strong,0.75,1.5,Low,Avoid,10/22/26,Closed,24 incidents/month, dataset
